Date,AAPL,AMZN,MSFT,SPY
2010-01-01,,,,
2010-01-04,30.57,133.9,30.95,113.33
2010-01-05,30.63,134.69,30.96,113.63
2010-01-06,30.14,132.25,30.77,113.71
2010-01-07,30.08,130.0,30.45,114.19
2010-01-08,30.28,133.52,30.66,114.57
2010-01-11,30.02,130.31,30.27,114.73
2010-01-12,29.67,127.35,30.07,113.66
2010-01-13,30.09,129.11,30.35,114.62
2010-01-14,29.92,127.35,30.96,114.93
2010-01-15,29.42,127.14,30.86,113.64
2010-01-18,,,,
2010-01-19,30.72,127.61,31.1,115.06
2010-01-20,30.25,125.78,30.58,113.89
2010-01-21,29.72,126.62,30.01,111.7
2010-01-22,28.25,121.43,28.96,109.21
2010-01-25,29.01,120.31,29.32,109.77
2010-01-26,29.42,119.48,29.5,109.31
2010-01-27,29.7,122.75,29.67,109.83
2010-01-28,28.47,126.03,29.16,108.57
2010-01-29,27.44,125.41,28.18,107.39
2010-02-01,27.82,118.87,28.41,109.06
2010-02-02,27.98,118.12,28.46,110.38
2010-02-03,28.46,119.1,28.63,109.83
2010-02-04,27.44,115.94,27.84,106.44
2010-02-05,27.92,117.39,28.02,106.66
2010-02-08,27.73,116.83,27.72,105.89
2010-02-09,28.03,118.03,28.01,107.22
2010-02-10,27.87,117.36,27.99,107.01
2010-02-11,28.38,120.09,28.12,108.13
2010-02-12,28.63,119.66,27.93,108.04
2010-02-15,,,,
2010-02-16,29.06,117.53,28.35,109.74
2010-02-17,28.94,116.31,28.59,110.26
2010-02-18,28.99,118.08,28.97,110.91
2010-02-19,28.81,117.52,28.77,111.14
2010-02-22,28.63,118.01,28.73,111.16
2010-02-23,28.15,117.24,28.33,109.81
2010-02-24,28.66,119.72,28.63,110.82
2010-02-25,28.86,118.2,28.6,110.67
2010-02-26,29.23,118.4,28.67,110.74
2010-03-01,29.86,124.54,29.02,111.89
2010-03-02,29.84,125.53,28.46,112.2
2010-03-03,29.9,125.89,28.46,112.3
2010-03-04,30.1,128.53,28.63,112.64
2010-03-05,31.28,128.91,28.59,114.25
2010-03-08,31.3,130.11,28.63,114.27
2010-03-09,31.86,128.82,28.8,114.46
